"Country","City","TypeContract","PriceValue"
"Romania","Calan","Furnizare","974000"
"Romania","Timisoara","Furnizare","54960"
"Romania","Oradea","Furnizare","197600"
"Romania","Galati","Servicii","151618"
"Romania","Galati","Servicii","39564"
"Romania","Bucuresti","Furnizare","44640"
"Romania","Bucuresti","Furnizare","480000"
"Romania","Bucuresti","Furnizare","624000"
"Romania","Bucuresti","Furnizare","974320"
"Romania","Bucuresti","Servicii","960"
"Romania","Vaslui","Furnizare","71262"
"Romania","TG JIU","Servicii","100000"
"Romania","Bucuresti","Servicii","142533"
"Romania","Suceava","Servicii","415947"
"Romania","Suceava","Servicii","281962"
"Romania","Husi","Servicii","157284"
"Romania","Husi","Servicii","350522"
"Romania","Husi","Servicii","256375"
"Romania","Bucuresti","Furnizare","38880"
"Romania","Bucuresti","Furnizare","10800"
"Romania","Bucuresti","Furnizare","7038"
"Romania","Bucuresti","Furnizare","79056"
"Romania","Bucuresti","Furnizare","19872"
"Romania","Bucuresti","Furnizare","19886"
"Romania","Bucuresti","Furnizare","4810"
"Romania","Bucuresti","Furnizare","6134"
"Romania","Bucuresti","Furnizare","2448"
"Romania","Bucuresti","Furnizare","12690"
"Romania","Bucuresti","Furnizare","4320"
"Romania","Bucuresti","Furnizare","4500"
"Romania","Bucuresti","Furnizare","2902"
"Romania","Bucuresti","Furnizare","22320"
"Romania","Bucuresti","Furnizare","1584"
"Romania","Bucuresti","Furnizare","2052"
"Romania","Bucuresti","Furnizare","2232"
"Romania","Bucuresti","Furnizare","30672"
"Romania","Bucuresti","Furnizare","20880"
"Romania","Bucuresti","Furnizare","14400"
"Romania","Bucuresti","Furnizare","8604"
"Romania","Bucuresti","Furnizare","223490"
"Romania","Bucuresti","Furnizare","1706"
"Romania","Suceava","Furnizare","22800"
"Romania","Magura","Servicii","7300"
"Romania","Bucuresti","Furnizare","6700"
"Romania","Bustuchin","Servicii","437253"
"Romania","Timisoara","Furnizare","15576"
"Romania","Timisoara","Furnizare","45198"
"Romania","TIMISOARA","Furnizare","43727"
"Romania","Timisoara","Furnizare","14500"
"Romania","Craiova","Servicii","23000"
"Romania","Botosani","Servicii","243944"
"Romania","Botosani","Servicii","222484"
"Romania","Sfantu Gheorghe","Servicii","787"
"Romania","Cluj-Napoca","Furnizare","110400"
"Romania","Lehliu-Gara","Servicii","200640"
"Romania","Bucuresti","Servicii","51865"
"Romania","Bucuresti","Servicii","18572"
"Romania","Ploiesti","Furnizare","257735"
"Romania","Braila","Furnizare","3840"
"Romania","Braila","Furnizare","9300"
"Romania","Braila","Furnizare","9600"
"Romania","Braila","Furnizare","10560"
"Romania","Braila","Furnizare","11400"
"Romania","Braila","Furnizare","12000"
"Romania","Braila","Furnizare","13200"
"Romania","Braila","Furnizare","27720"
"Romania","Braila","Furnizare","41940"
"Romania","Braila","Furnizare","99360"
"Romania","Jilava","Servicii","726624"
"Romania","Bucuresti","Furnizare","80575"
"Romania","Sibiu","Servicii","11015"
"Romania","Sibiu","Servicii","78160"
"Romania","Alba Iulia","Servicii","65628"
"Romania","Alba Iulia","Servicii","700210"
"Romania","Bucuresti","Furnizare","31680"
"Romania","Bucuresti","Furnizare","1920"
"Romania","Bucuresti","Furnizare","8749"
"Romania","Ploiesti","Servicii","428381"
"Romania","Suceava","Furnizare","99360"
"Romania","Cluj-Napoca","Furnizare","235800"
"Romania","Cluj-Napoca","Furnizare","198217"
"Romania","Cluj-Napoca","Furnizare","29197"
"Romania","Pitesti","Furnizare","108450"
"Romania","Bucuresti","Furnizare","750"
"Romania","Ploiesti","Lucrari","143854575"
"Romania","Bucuresti","Furnizare","198217"
"Romania","Bucuresti","Furnizare","316"
"Romania","Ploiesti","Lucrari","175055"
"Romania","Voluntari","Furnizare","94800"
"Romania","Voluntari","Furnizare","235800"
"Romania","Reghin","Furnizare","23382"
"Romania","Brazi","Servicii","32020"
"Romania","Brazi","Servicii","93090"
"Romania","Bucuresti","Furnizare","396"
"Romania","Bucuresti","Furnizare","4493"
"Romania","Bucuresti","Furnizare","7034"
"Romania","Bucuresti","Furnizare","14040"
"Romania","Bucuresti","Furnizare","1515186"
"Romania","Bucuresti","Furnizare","10627"
"Romania","Bucuresti","Furnizare","251856"
"Romania","Bucuresti","Furnizare","90050"
"Romania","Bucuresti","Furnizare","46980"
"Romania","Bucuresti","Furnizare","14400"
"Romania","Bucuresti","Furnizare","3420"
"Romania","Bucuresti","Furnizare","2700"
"Romania","Bucuresti","Furnizare","6926"
"Romania","Bucuresti","Furnizare","272592"
"Romania","Bucuresti","Furnizare","97146"
"Romania","Bucuresti","Furnizare","132512"
"Romania","Bucuresti","Furnizare","264576"
