EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2008-9-1,28,24,20,18,14,11,78,57,39,1019,1018,1017,10,10,10,19,11,,0.00,3,,152
2008-9-2,29,23,18,16,14,11,68,56,39,1019,1017,1015,10,10,10,23,6,,0.00,2,,160
2008-9-3,29,23,18,19,16,12,78,63,42,1017,1016,1015,10,10,10,21,8,,0.00,2,,166
2008-9-4,31,24,19,20,17,15,83,67,38,1017,1016,1015,10,10,10,21,6,,0.00,1,,189
2008-9-5,32,26,19,21,17,13,78,62,31,1017,1016,1015,10,10,10,21,6,,0.00,1,,180
2008-9-6,33,27,20,20,16,12,74,55,31,1017,1015,1013,10,10,10,21,8,,0.00,1,,165
2008-9-7,33,27,21,21,18,14,83,61,34,1015,1014,1012,10,10,10,23,8,,0.00,1,,182
2008-9-8,33,27,20,21,17,11,88,59,27,1015,1014,1012,10,10,8,16,6,,0.00,1,,198
2008-9-9,33,27,21,18,16,13,69,51,29,1015,1013,1012,10,10,10,24,5,,0.00,1,,224
2008-9-10,32,26,21,18,15,12,73,53,29,1017,1015,1014,10,10,10,21,5,,0.00,1,,193
2008-9-11,29,24,19,19,16,14,78,60,40,1016,1014,1012,10,10,10,19,6,,0.00,2,,169
2008-9-12,31,24,19,20,16,13,73,61,46,1012,1010,1007,10,10,10,19,6,,0.00,3,,219
2008-9-13,31,26,22,21,19,17,74,68,49,1010,1009,1007,10,10,10,23,6,,0.00,4,,227
2008-9-14,31,26,21,21,19,16,78,69,49,1013,1011,1009,10,10,10,32,8,,0.00,4,,169
2008-9-15,28,24,20,19,17,15,88,69,48,1013,1009,1007,10,10,8,34,6,,0.00,6,Rain-Thunderstorm,125
2008-9-16,28,21,15,19,16,11,94,76,37,1008,1007,1006,10,10,7,19,6,,0.00,3,Rain,185
2008-9-17,23,20,17,17,12,5,94,62,44,1013,1009,1007,10,10,10,42,14,60,0.00,5,,345
2008-9-18,21,17,13,7,5,3,63,47,33,1018,1016,1013,10,10,10,42,29,61,0.00,1,,352
2008-9-19,21,17,13,4,3,2,51,41,28,1018,1017,1014,10,10,10,29,19,45,0.00,3,,349
2008-9-20,17,14,13,9,6,3,72,55,39,1015,1014,1014,10,10,10,27,13,,0.00,7,Rain,347
2008-9-21,19,16,13,7,5,3,59,48,35,1014,1013,1012,10,10,10,23,16,,0.00,6,,333
2008-9-22,20,17,13,13,7,3,82,55,40,1013,1013,1012,10,10,10,21,10,,0.00,6,Rain,322
2008-9-23,22,18,15,13,9,5,88,58,35,1014,1012,1011,10,10,10,23,10,,0.00,2,Rain,326
2008-9-24,21,17,13,15,11,5,94,70,42,1016,1016,1014,10,9,6,26,5,,0.00,6,Rain,320
2008-9-25,18,17,15,16,14,13,100,88,73,1016,1014,1013,10,9,6,19,6,,0.00,8,Rain,200
2008-9-26,22,18,15,14,13,11,94,75,56,1017,1014,1013,10,9,8,19,8,,0.00,4,Rain-Thunderstorm,302
2008-9-27,17,16,14,14,13,11,94,83,68,1022,1020,1017,10,9,5,11,3,,0.00,7,Rain-Thunderstorm,304
2008-9-28,16,14,13,13,12,11,94,85,72,1022,1021,1020,10,9,7,23,8,,0.00,7,Rain,307
2008-9-29,18,16,12,13,10,8,94,74,56,1021,1019,1018,10,10,10,19,11,,0.00,5,Rain,329
2008-9-30,21,14,9,12,9,7,93,70,46,1020,1019,1018,10,10,10,14,6,,0.00,1,,113
