CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-1-1,7,4,2,5,3,2,100,95,76,1010,1008,1004,10,9,4,13,6,,0.00,6,,229
1997-1-2,7,3,0,6,3,0,100,92,71,1007,1003,997,10,9,4,26,8,47,0.00,5,Rain,143
1997-1-3,5,3,2,5,1,-1,100,85,70,1005,999,996,10,10,7,27,19,,0.00,6,Rain-Snow,256
1997-1-4,7,3,-1,-2,-3,-4,86,63,49,1012,1010,1005,10,10,10,27,19,40,0.00,2,,284
1997-1-5,2,0,-1,2,0,-3,100,95,86,1012,1008,1005,10,5,1,14,6,,0.00,7,Snow,2
1997-1-6,7,3,1,2,-1,-3,100,82,57,1014,1010,1008,10,10,10,11,5,,0.00,4,,64
1997-1-7,2,0,-2,1,-1,-3,100,93,75,1016,1014,1009,10,7,0,6,2,,0.00,7,Snow,43
1997-1-8,8,4,1,7,4,1,100,96,87,1015,1005,1003,10,8,4,26,8,,0.00,7,Rain,273
1997-1-9,12,10,8,8,3,0,100,65,44,1015,1008,1003,10,10,10,48,23,48,0.00,4,Rain,274
1997-1-10,13,8,3,8,5,1,93,83,63,1021,1018,1016,10,10,10,13,5,,0.00,5,,100
1997-1-11,16,10,5,10,7,5,100,90,67,1024,1022,1021,10,6,0,11,2,,0.00,3,Fog,344
1997-1-12,17,10,3,8,6,3,100,84,55,1024,1022,1020,10,10,10,14,8,,0.00,1,,345
1997-1-13,15,9,4,9,4,-1,100,75,38,1022,1021,1019,10,9,3,11,2,,0.00,4,Fog,128
1997-1-14,11,6,0,4,2,0,100,81,50,1022,1020,1019,10,9,1,14,2,,0.00,4,,35
1997-1-15,11,8,5,7,5,4,100,83,62,1021,1019,1018,10,10,8,10,3,,0.00,6,Rain,16
1997-1-16,12,9,6,8,7,6,100,89,72,1019,1017,1015,10,10,10,24,5,,0.00,6,,63
1997-1-17,13,9,5,9,5,1,100,78,47,1022,1018,1015,10,10,7,27,13,,0.00,4,Rain,267
1997-1-18,6,3,2,6,4,2,100,98,93,1022,1019,1015,10,7,3,8,2,,0.00,6,Rain,357
1997-1-19,9,7,6,7,6,5,100,97,87,1015,1011,1004,10,6,2,14,8,,0.00,4,Rain,99
1997-1-20,9,7,5,9,7,5,100,100,100,1008,1005,1003,10,8,3,13,5,,0.00,5,Rain,320
1997-1-21,10,8,6,7,6,5,100,89,71,1013,1011,1009,10,9,4,8,3,,0.00,5,,65
1997-1-22,13,8,3,8,5,3,100,85,58,1018,1016,1015,10,9,5,11,3,,0.00,5,Rain,33
1997-1-23,12,10,9,10,9,9,100,96,82,1018,1014,1013,10,8,4,10,5,,0.00,7,Rain,29
1997-1-24,13,10,7,9,8,7,100,90,67,1025,1021,1018,10,10,7,11,6,,0.00,5,Rain,357
1997-1-25,12,9,7,9,7,6,100,89,76,1025,1024,1023,10,10,10,10,3,,0.00,6,,358
1997-1-26,14,9,5,8,6,5,100,83,55,1026,1025,1024,10,10,9,6,2,,0.00,2,,180
