name,street,zip,city,distance,promo_zip,promo_city
Guten-Tag-Apotheke Altmarkt Galerie,Webergasse 1,01067,Dresden,7.4 km,01326,Dresden
Saxonia Internationale-Apotheke,Prager Str. 8 A,01069,Dresden,7.2 km,01326,Dresden
Panorama-Apotheke,Kohlenstr. 18 B,01189,Dresden,10.0 km,01326,Dresden
Apotheke im Kaufpark,Dohnaer Str. 246,01239,Dresden,8.5 km,01326,Dresden
Stadt Apotheke,Hauptstr. 46,01589,Riesa,66.6 km,01326,Dresden
Apotheke am Marktkauf,Städtelner Str. 54,04416,Markkleeberg,123 km,01326,Dresden
Rosen-Apotheke,Niedermarkt 30,04720,Döbeln,58.4 km,01326,Dresden
Apotheke am Friedrichplatz,Friedrichplatz 14,04860,Torgau,110 km,01326,Dresden
Pelikan Apotheke im Rathaus-Center,Ratsgasse 6,06844,Dessau-Roßlau,186 km,01326,Dresden
Guten-Tag-Apotheke Zwickau Arcaden,Innere Plauensche Str. 14,08056,Zwickau,125 km,01326,Dresden
Robert-Koch-Apotheke,Äußere Plauensche Str. 26,08056,Zwickau,125 km,01326,Dresden
Linda Apotheke in der Nordvorstadt,Schubertstr. 3,08058,Zwickau,120 km,01326,Dresden
Apotheke im Elster-Park,Äußere Reichenbacher Str. 64,08529,Plauen,154 km,01326,Dresden
Sanimedius-Apotheke,Weinbergsweg 1,10119,Berlin,6.6 km,10245,Berlin
Pharmland-Apotheke,Sewanstr. 4,10319,Berlin,3.5 km,10245,Berlin
easy-Apotheke Wilmersdorf,Wilmersdorfer Str. 64,10627,Berlin,12.3 km,10245,Berlin
Bong-Apotheke,Wilmersdorfer Str. 46,10627,Berlin,12.1 km,10245,Berlin
Brillant-Apotheke,Kurfürstendamm 71,10709,Berlin,11.5 km,10245,Berlin
Apotheke in der Metropole,Joachimstaler Str. 21,10719,Berlin,9.7 km,10245,Berlin
Apotheke des Westens,Rankestr. 34,10789,Berlin,9.8 km,10245,Berlin
Pelikan Discount Apotheke,Tempelhofer Damm 126,12099,Berlin,11.6 km,10245,Berlin
easy-Apotheke Mariendorf,Großbeerenstr. 2,12107,Berlin,15.2 km,10245,Berlin
Mörike-Apotheke,Baumschulenstr. 90,12437,Berlin,5.8 km,10245,Berlin
Apotheke am Springpfuhl,Helene-Weigel-Platz 11,12681,Berlin,9.3 km,10245,Berlin
Linden Apotheke im Linden-Center,Am Prerowerplatz 4a,13051,Berlin,10.9 km,10245,Berlin
Stern Apotheke im Alleecenter,Landsberger Allee 277,13055,Berlin,7.6 km,10245,Berlin
Apotheke im Havel-Park,Döberitzer Weg 3,14624,Dallgow-Döberitz,41.1 km,10245,Berlin
Sonnen-Apotheke,Spitzkrugring 1,15234,Frankfurt,101 km,10245,Berlin
Pluspunkt-Apotheke im Oder-Center,Landgrabenpark 1,16303,Schwedt,106 km,10245,Berlin
Apotheke im Ostseepark,Ostsee-Park-Str. 3,18069,Lambrechtshagen,296 km,29221,Celle
Apotheke Offering,Hansestr. 37,18182,Bentwisch,303 km,29221,Celle
Löwen-Apotheke im 7-Seen-Center,Grabenstr. 1,19061,Schwerin,218 km,29221,Celle
Elbetal-Apotheken OHG,Reichenstr. 12/13,19258,Boizenburg,253 km,10245,Berlin
Thalia-Apotheke,Gerhart-Hauptmann-Platz 46-48,20095,Hamburg,291 km,10245,Berlin
Vita-Apotheke,Heußweg 37,20255,Hamburg,295 km,10245,Berlin
Arcaden-ApothekeOHG,Lüneburger Str. 45,21073,Hamburg,301 km,10245,Berlin
Pluspunkt-Apotheke,Hannoversche Str. 86,21079,Hamburg,299 km,10245,Berlin
Pluspunkt-Apotheke Stade,Holzstr. 14,21682,Stade,361 km,10245,Berlin
Priv. Adler Apotheke oHG,Wandsbeker Marktstr. 73,22041,Hamburg,288 km,10245,Berlin
Apollo-Apotheke,Hamburger Str. 33/37,22083,Hamburg,290 km,10245,Berlin
Apollo II-Apotheke,Hamburger Str. 47,22083,Hamburg,290 km,10245,Berlin
Apotheke am Billstedter Platz,Billstedter Platz 9,22111,Hamburg,285 km,10245,Berlin
Guten Tag Apotheke im Real,Willinghusener Weg 1,22113,Oststeinbek,282 km,10245,Berlin
apo-rot Apotheke Rahlstedt,Rahlstedter Bahnhofstr. 20,22143,Hamburg,287 km,10245,Berlin
Apotheke am Langenhorner Markt,Langenhorner Markt 9a,22415,Hamburg,298 km,10245,Berlin
Apotheke im Citti-Park,Herrenholz 14,23556,Lübeck,174 km,29221,Celle
Pinguin-Apotheke,Konrad-Adenauer-Str. 1,23558,Lübeck,179 km,29221,Celle
Mühlen Apotheke Stadt,Großflecken 30,24534,Neumünster,184 km,29221,Celle
St. Michael-Apotheke im CITTI-PARK,Langberger Weg 4,24941,Flensburg,278 km,29221,Celle
Löwen-Apotheke Im Fördepark,Schleswiger Str. 130,24941,Flensburg,276 km,29221,Celle
Pluspunkt Apotheke Uetersen,Großer Sand 12,25436,Uetersen,151 km,29221,Celle
Aquila-Apotheke,Posthalterweg,26129,Oldenburg,36.6 km,27777,Bookholzberg
Bären-Apotheke,Am Markt 15-17,26427,Esens,112 km,27777,Bookholzberg
Apotheke Gievert im Carolinenhof,Fischteichweg 15-19,26603,Aurich,106 km,27777,Bookholzberg
Apotheke am Albert-Post-Platz OHG,Albert-Post-Platz 21,26655,Westerstede,56.5 km,27777,Bookholzberg
Apotheke-Gievert,Poststr. 15a,26897,Esterwegen,76.7 km,27777,Bookholzberg
Apotheke Große Verdener Straße,Verdener Str. 5,27356,Rotenburg,70.8 km,27777,Bookholzberg
Pluspunkt-Apotheke,Lange Str. 108,27749,Delmenhorst,14.7 km,27777,Bookholzberg
Apotheke im Kaufland,Stedinger Str. 101,27753,Delmenhorst,10.3 km,27777,Bookholzberg
SK-Apotheke,Duckwitzstr. 55,28199,Bremen,23.2 km,27777,Bookholzberg
Apotheke im Hansa-Carré,Pfalzburger Str. 41,28207,Bremen,34.7 km,27777,Bookholzberg
Apotheke Roland-Center,Alter Dorfweg 30-50,28259,Bremen,21.5 km,27777,Bookholzberg
Weserpark-Apotheke,Hans-Bredow-Str. 19,28307,Bremen,42.1 km,27777,Bookholzberg
easyApotheke Marktcenter Uelzen,Veerßer Str. 59,29525,Uelzen,176 km,27777,Bookholzberg
Europa Apotheke,Georgstr. 16,30159,Hannover,73.2 km,38122,BRAUNSCHWEIG
