street,zip,city
Webergasse 1,1067,Dresden
Prager Str. 8 A,1069,Dresden
Kohlenstr. 18 B,1189,Dresden
Dohnaer Str. 246,1239,Dresden
Hauptstr. 46,1589,Riesa
Städtelner Str. 54,4416,Markkleeberg
Niedermarkt 30,4720,Döbeln
Friedrichplatz 14,4860,Torgau
Ratsgasse 6,6844,Dessau-Roßlau
Innere Plauensche Str. 14,8056,Zwickau
Äußere Plauensche Str. 26,8056,Zwickau
Schubertstr. 3,8058,Zwickau
Äußere Reichenbacher Str. 64,8529,Plauen
Weinbergsweg 1,10119,Berlin
Sewanstr. 4,10319,Berlin
Wilmersdorfer Str. 64,10627,Berlin
Wilmersdorfer Str. 46,10627,Berlin
Kurfürstendamm 71,10709,Berlin
Joachimstaler Str. 21,10719,Berlin
Rankestr. 34,10789,Berlin
Tempelhofer Damm 126,12099,Berlin
Großbeerenstr. 2,12107,Berlin
Baumschulenstr. 90,12437,Berlin
Helene-Weigel-Platz 11,12681,Berlin
Am Prerowerplatz 4a,13051,Berlin
Landsberger Allee 277,13055,Berlin
Döberitzer Weg 3,14624,Dallgow-Döberitz
Spitzkrugring 1,15234,Frankfurt
Landgrabenpark 1,16303,Schwedt
Ostsee-Park-Str. 3,18069,Lambrechtshagen
Hansestr. 37,18182,Bentwisch
Grabenstr. 1,19061,Schwerin
Reichenstr. 12/13,19258,Boizenburg
Gerhart-Hauptmann-Platz 46-48,20095,Hamburg
Heußweg 37,20255,Hamburg
Lüneburger Str. 45,21073,Hamburg
Hannoversche Str. 86,21079,Hamburg
Holzstr. 14,21682,Stade
Wandsbeker Marktstr. 73,22041,Hamburg
Hamburger Str. 33/37,22083,Hamburg
Hamburger Str. 47,22083,Hamburg
Billstedter Platz 9,22111,Hamburg
Willinghusener Weg 1,22113,Oststeinbek
Rahlstedter Bahnhofstr. 20,22143,Hamburg
Langenhorner Markt 9a,22415,Hamburg
Herrenholz 14,23556,Lübeck
Konrad-Adenauer-Str. 1,23558,Lübeck
Großflecken 30,24534,Neumünster
Langberger Weg 4,24941,Flensburg
Schleswiger Str. 130,24941,Flensburg
Großer Sand 12,25436,Uetersen
Posthalterweg,26129,Oldenburg
Am Markt 15-17,26427,Esens
Fischteichweg 15-19,26603,Aurich
Albert-Post-Platz 21,26655,Westerstede
Poststr. 15a,26897,Esterwegen
Verdener Str. 5,27356,Rotenburg
Lange Str. 108,27749,Delmenhorst
Stedinger Str. 101,27753,Delmenhorst
Duckwitzstr. 55,28199,Bremen
Pfalzburger Str. 41,28207,Bremen
Alter Dorfweg 30-50,28259,Bremen
Hans-Bredow-Str. 19,28307,Bremen
Veerßer Str. 59,29525,Uelzen
Georgstr. 16,30159,Hannover
Theaterstr. 14,30159,Hannover
An der Weide 23-25,30173,Hannover
Opelstr. 3-5,30916,Isernhagen
Konrad-Adenauer-Str. 33,31737,Rinteln
Pferdemarkt 1,31785,Hameln
Husener Str. 48,33098,Paderborn
Pohlweg 110,33100,Paderborn
Alter Hellweg 29,33106,Paderborn
Geseker Str. 10,33154,Salzkotten
Am Wallgraben 14,33154,Salzkotten
Bahnhofstr. 8,33415,Verl
Niedernstr. 37,33602,Bielefeld
Elbeallee 79,33689,Bielefeld
Oldentruper Str. 236,33719,Bielefeld
Mühlenstr. 2,33803,Steinhagen
Obere Königsstr. 21,34117,Kassel
Landgraf-Karl-Str. 1,34131,Kassel
Frankfurter Str. 225,34134,Kassel
Fuldastr. 1,34225,Baunatal
Heinrich-Nordhoff-Str. 7,34225,Baunatal
Lange Wender 7,34246,Vellmar
Hauptstraße 30,34431,Marsberg
Kasseler Str. 22 A,34560,Fritzlar
Am Forum 1,35576,Wetzlar
Schlitzer Str. 87,36039,Fulda
Keltenstr. 20,36043,Fulda
Justus-Liebig-Str. 1,36100,Petersberg
Theaterstr. 17b,37073,Göttingen
Hutfiltern 6,38100,Braunschweig
Platz am Ritterbrunnen 1,38100,Braunschweig
BraWo-Allee 1,38102,Braunschweig
Elbestr. 25,38120,Braunschweig
Am Pfingstanger 7,38259,Salzgitter
Schweigerstr. 9,38302,Wolfenbüttel
Porschestraße 41 E,38440,Wolfsburg
Rudolf-Diesel-Str. 44,38820,Halberstadt
Platz des Friedens 1,38855,Wernigerode
Ernst-Reuter-Allee 11,39104,Magdeburg
Konrad-Adenauer-Platz 14,40210,Düsseldorf
Graf-Adolf-Str. 35,40210,Düsseldorf
Flinger Str. 3,40213,Düsseldorf
Suitbertusstr. 137,40223,Düsseldorf
Altenbrückstr. 17,40599,Düsseldorf
Mittelstr. 67,40721,Hilden
Talstr. 4-6,40822,Mettmann
Jubiläumsplatz 3,40822,Mettmann
Eisenhüttenstr. 2,40882,Ratingen
Bismarckstr. 34,41061,Mönchengladbach
Quadtstr. 20,41189,Mönchengladbach
Schellbergstr. 9,41469,Neuss
Kanalstr. 51-55,41748,Viersen
Hofaue 95,42103,Wuppertal
Wall 1,42103,Wuppertal
Ascheweg 16,42369,Wuppertal
Bornstr. 160,44145,Dortmund
Wulfshofstr. 6-8,44149,Dortmund
Brackeler Hellweg 138,44309,Dortmund
Deutsche Str. 7,44339,Dortmund
Deutsche Str. 4,44339,Dortmund
Siemensstr. 10,44579,Castrop-Rauxel
Frielinghausstr. 8,44803,Bochum
Riemker Str. 13,44809,Bochum
Ückendorfer Str. 49,45327,Essen
Hans-Böckler-Platz 10,45468,Mülheim
Reschop Carre Platz 1,45525,Hattingen
Westfalenstr. 145,45661,Recklinghausen
Berliner Platz 14,45739,Oer-Erkenschwick
Brassertstr. 109,45768,Marl
