"price","area","rooms","address","part"
1168,118,4,"Bremer Straße 20, Innenstadt, Dortmund","Innenstadt"
406,58,2.5,"In den Weidbüschen 17, Brechten, Dortmund","Brechten"
362.1,71,3.5,"Liethschulteweg 8, Derne, Dortmund","Derne"
385,70,3,"Limbecker Straße 100, Lütgendortmund, Dortmund","Lütgendortmund"
500,55,2,"Hansastraße 72, Innenstadt, Dortmund","Innenstadt"
410,53,2,"Niederhofen, Dortmund","Niederhofen"
1150,129.25,4,"Middelhof 7, Wellinghofen, Dortmund","Wellinghofen"
379,49.23,2,"Nollendorfplatz 9A, Eving, Dortmund","Eving"
349,49.77,3,"Nollendorfplatz 11, Eving, Dortmund","Eving"
329,48.45,2.5,"Im Orde 38, Bodelschwingh, Dortmund","Bodelschwingh"
360,54.85,2,"Mamertusstr. 32, Huckarde, Dortmund","Huckarde"
389,47.18,2,"Aspeystr. 48, Huckarde, Dortmund","Huckarde"
449,59.06,3.5,"Aspeystr. 33, Huckarde, Dortmund","Huckarde"
319,51.2,2.5,"Ammerstr. 78, Nette, Dortmund","Nette"
155,29.54,1,"Münsterstraße 77, Innenstadt, Dortmund","Innenstadt"
412,58.83,2.5,"Blenkerweg 32, Wellinghofen, Dortmund","Wellinghofen"
495.63,81.25,3.5,"Am Bellwinkelhof 43, Scharnhorst, Dortmund","Scharnhorst"
1170,110.24,3,"Hörde, Dortmund","Hörde"
408.27,66.93,2.5,"Am Bellwinkelhof 41, Scharnhorst, Dortmund","Scharnhorst"
855,90,3,"Kaiser Str. 19, Innenstadt, Dortmund","Innenstadt"
362.82,60.47,3.5,"Lünener Straße 4, Innenstadt, Dortmund","Innenstadt"
405,57.6,2.5,"Tiefe Straße 26, Innenstadt, Dortmund","Innenstadt"
381,55.96,3.5,"Innsbruckstraße 53, Eving, Dortmund","Eving"
370.5,57,2,"Aplerbeck, Dortmund","Aplerbeck"
455,65,3.5,"Nierstefeldstraße 1, Derne, Dortmund","Derne"
341.55,40.71,1.5,"Schimmelreiterweg 3, Brechten, Dortmund","Brechten"
590,70,3,"Kaiserstraße 29, Innenstadt, Dortmund","Innenstadt"
1645.25,131.62,3.5,"Hohle Eiche 24a, Kirchhörde, Dortmund","Kirchhörde"
300,28,1,"Rheinlandamm 6, Innenstadt, Dortmund","Innenstadt"
910,107.3,4,"Bittermarkstraße 43, Bittermark, Dortmund","Bittermark"
348,58,2,"Brunnenstr. 24, Innenstadt, Dortmund","Innenstadt"
300,49,2,"Dorotheenstr. 8, Innenstadt, Dortmund","Innenstadt"
468,66.9,3,"Mallinckrodtstr. 188, Innenstadt, Dortmund","Innenstadt"
510,42,2,"Weissenburger Str. 5, Innenstadt, Dortmund","Innenstadt"
450,70,3,"Baroper Bahnhofstraße 11, Barop, Dortmund","Barop"
378,63,3.5,"Bennostr. 21, Bövinghausen, Dortmund","Bövinghausen"
414.81,78,3,"Vogelpothsweg 36, Dorstfeld, Dortmund","Dorstfeld"
381.37,67,3,"Rauschenbuschstraße 4, Wickede, Dortmund","Wickede"
422.69,66,3,"Polliusweg 3, Wickede, Dortmund","Wickede"
369,57,2,"Rinscheweg 8, Wickede, Dortmund","Wickede"
323.3,55,2,"Gudrunstraße 143, Wickede, Dortmund","Wickede"
388.55,70,3,"Peschweg 37, Scharnhorst, Dortmund","Scharnhorst"
395.15,70,3,"Littweg 17, Scharnhorst, Dortmund","Scharnhorst"
513,75.99,3,"Damaschkestraße 19, Wambel, Dortmund","Wambel"
448.12,52.5,2,"Heimbaustr. 43, Innenstadt, Dortmund","Innenstadt"
470,68,2.5,"In der Oeverscheidt 144, Oespel, Dortmund","Oespel"
530,87.44,3,"Kuckelke 20, Innenstadt, Dortmund","Innenstadt"
425,65.44,3,"Kuckelke 20, Innenstadt, Dortmund","Innenstadt"
290,34.55,1,"Sonnenstraße 112, Innenstadt, Dortmund","Innenstadt"
315.38,61,2.5,"Provinzialstr. 240 a, Lütgendortmund, Dortmund","Lütgendortmund"
510,78.4,2,"Sölde, Dortmund","Sölde"
1930,297,7,"Olpketalstrasse 37, Lücklemberg, Dortmund","Lücklemberg"
650,83,2,"Eichhoffstrasse 37, Löttringhausen, Dortmund","Löttringhausen"
290,38,2,"Mallinckrodtstraße 26-28, Innenstadt, Dortmund","Innenstadt"
510,73,3,"Traddeweg 1, Schüren, Dortmund","Schüren"
865,79,3,"Bremer Straße 14, Innenstadt, Dortmund","Innenstadt"
1600,158,4,"Kirchhörde, Dortmund","Kirchhörde"
685,68.5,2,"Kirchhörde, Dortmund","Kirchhörde"
500,87,3,"Am Amtshaus 26, Mengede, Dortmund","Mengede"
335,62,4,"Rahmer Straße 16, Huckarde, Dortmund","Huckarde"
450,70.99,3,"Güntherstr. 40, Innenstadt, Dortmund","Innenstadt"
1990,195,3,"Olpketalstraße 123, Lücklemberg, Dortmund","Lücklemberg"
320,53,2,"Köln-Berliner Straße 112, Aplerbeck, Dortmund","Aplerbeck"
321.26,63.57,2,"Mallinckrodtstraße 133, Innenstadt, Dortmund","Innenstadt"
505,81,3.5,"Körner Grund 6, Körne, Dortmund","Körne"
390,78,3,"Gleiwitzstr. 267, Scharnhorst, Dortmund","Scharnhorst"
500,75,3.5,"Wambeler Hellweg 42, Wambel, Dortmund","Wambel"
600,35,1.5,"Düsseldorfer Straße 12, Innenstadt, Dortmund","Innenstadt"
1400,129,3,"Ostwall 56, Innenstadt, Dortmund","Innenstadt"
550,51,2,"Ostwall 56, Innenstadt, Dortmund","Innenstadt"
1200,136,5,"Hagener Straße 231, Kirchhörde, Dortmund","Kirchhörde"
1200,125,4.5,"Weisbachstr. 2, Innenstadt, Dortmund","Innenstadt"
790,100,2.5,"Hörde, Dortmund","Hörde"
1050,135,4,"Höchsten, Dortmund","Höchsten"
390,65,3,"Igelweg 15, Berghofen, Dortmund","Berghofen"
330,40,1,"Friedenstrasse 29, Innenstadt, Dortmund","Innenstadt"
950,107,2.5,"Stangefolstr. 18, Hörde, Dortmund","Hörde"
545,68,2,"Domänenstr. 10, Hombruch, Dortmund","Hombruch"
852,94.7,3.5,"Redtenbacher Str. 27, Innenstadt, Dortmund","Innenstadt"
1650,160,3,"Wichlinghofen, Dortmund","Wichlinghofen"
490,79.41,4,"Ordalweg 7, Brackel, Dortmund","Brackel"
445,70,2,"Wischlingen, Dortmund","Wischlingen"
600,96,3,"Ermlinghofer Straße  19, Hörde, Dortmund","Hörde"
850,89.39,3,"Rolevinckstr. 18, Schüren, Dortmund","Schüren"
635,86.43,3,"Ostwall 29, Innenstadt, Dortmund","Innenstadt"
439,58.1,3,"Schragmüllerstr. 31, Oestrich, Dortmund","Oestrich"
413.34,67.54,3.5,"Dohlenstr. 3, Oestrich, Dortmund","Oestrich"
379,55.65,3,"Quakmannsweg 2, Bodelschwingh, Dortmund","Bodelschwingh"
349,47.31,2.5,"Rübezahlweg 8, Kemminghausen, Dortmund","Kemminghausen"
321.08,52.65,3.5,"Alter Heideweg 35, Kemminghausen, Dortmund","Kemminghausen"
359,38.92,3.5,"Volmarsteiner Str. 13, Innenstadt, Dortmund","Innenstadt"
429,57.4,3.5,"Rübezahlweg 6, Kemminghausen, Dortmund","Kemminghausen"
375,52.65,3.5,"Alter Heideweg 37, Kemminghausen, Dortmund","Kemminghausen"
349,52.33,3.5,"Märchenweg 27, Eving, Dortmund","Eving"
320.5,52.33,3.5,"Spenhofweg 17, Eving, Dortmund","Eving"
340.56,53,2.5,"Alter Heideweg 30, Eving, Dortmund","Eving"
265.23,45.79,2.5,"Alter Heideweg 26, Eving, Dortmund","Eving"
279,42.86,2,"Hartwinkel 2, Eving, Dortmund","Eving"
349,49.48,2.5,"Kuntzestr. 2, Hombruch, Dortmund","Hombruch"
949,88.58,3,"Metzer Str. 40, Innenstadt, Dortmund","Innenstadt"
349,49.28,3.5,"Fröbelweg 12, Eving, Dortmund","Eving"
390,52.33,3.5,"Vossloh 10, Nette, Dortmund","Nette"
239,41.54,1.5,"Teinerstr. 6, Marten, Dortmund","Marten"
219,37.67,1,"Teinerstr. 6, Marten, Dortmund","Marten"
794,65.72,2.5,"Vorwärtsstr. 8, Innenstadt, Dortmund","Innenstadt"
449,53.86,3,"Am Rode 103, Dorstfeld, Dortmund","Dorstfeld"
349,43.65,2.5,"Am Rode 101, Dorstfeld, Dortmund","Dorstfeld"
329,50.5,2.5,"Alter Heideweg 17, Eving, Dortmund","Eving"
377.93,52.49,2.5,"Grazstr. 11, Eving, Dortmund","Eving"
319,47.07,2,"Körnerstr. 16, Eving, Dortmund","Eving"
549,60.65,3.5,"Rathenaustr. 35, Hörde, Dortmund","Hörde"
429,46.76,2.5,"Metzer Str. 45, Innenstadt, Dortmund","Innenstadt"
425,54.42,3.5,"Gastkamp 5, Innenstadt, Dortmund","Innenstadt"
349,42.86,2.5,"Aspeystr. 30, Huckarde, Dortmund","Huckarde"
345,45,2,"Gneisenaustr 67, Innenstadt, Dortmund","Innenstadt"
330,55,2,"Drechslerweg 7, Lanstrop, Dortmund","Lanstrop"
355,65.44,3,"Hafnerstr. 12, Lanstrop, Dortmund","Lanstrop"
335,62,3,"Büttnerstr. 38, Lanstrop, Dortmund","Lanstrop"
330,55,2,"Kürschnerweg 5, Lanstrop, Dortmund","Lanstrop"
453,85,2,"Krinkelweg 22, Holzen, Dortmund","Holzen"
599,90,3,"Rheinische Str. 54, Innenstadt, Dortmund","Innenstadt"
460,84,3,"Mengede, Dortmund","Mengede"
360,59,2,"Ehmsenstraße 33, Berghofen, Dortmund","Berghofen"
790,112,3,"Heiliger Weg  46, Innenstadt, Dortmund","Innenstadt"
471,56,2,"Schleswiger Str. 18, Innenstadt, Dortmund","Innenstadt"
1065,168,3,"Hagener Str. 374, Kirchhörde, Dortmund","Kirchhörde"
500,67,4,"Lortzingstr. 21, Innenstadt, Dortmund","Innenstadt"
427.17,81.93,3.5,"Martener Str. 446, Marten, Dortmund","Marten"
335,54.02,3,"Thoniesstr. 1, Kirchlinde, Dortmund","Kirchlinde"
329,42.01,2,"Krellstr. 1, Huckarde, Dortmund","Huckarde"
355,45.18,2.5,"Varziner Str. 117, Huckarde, Dortmund","Huckarde"
1920,160,3,"Hafenpromenade 1-2, Hörde, Dortmund","Hörde"
800,93,2,"Bismarckstr. 45, Innenstadt, Dortmund","Innenstadt"
332.52,76.08,3.5,"Butzstr. 44, Nette, Dortmund","Nette"
