Ort;Plz;Bundesland
Aach;54298;Rheinland-Pfalz
Aach;78267;Baden-Württemberg
Aachen;52062;Nordrhein-Westfalen
Aachen;52064;Nordrhein-Westfalen
Aachen;52066;Nordrhein-Westfalen
Aachen;52068;Nordrhein-Westfalen
Aachen;52070;Nordrhein-Westfalen
Aachen;52072;Nordrhein-Westfalen
Aachen;52074;Nordrhein-Westfalen
Aachen;52076;Nordrhein-Westfalen
Aachen;52078;Nordrhein-Westfalen
Aachen;52080;Nordrhein-Westfalen
Aalen;73430;Baden-Württemberg
Aalen;73431;Baden-Württemberg
Aalen;73432;Baden-Württemberg
Aalen;73433;Baden-Württemberg
Aalen;73434;Baden-Württemberg
Aarbergen;65326;Hessen
Aasbüttel;25560;Schlewig-Holstein
Abbau Ader;29416;Sachsen-Anhalt
Abbendorf;19322;Brandenburg
Abbenrode;38871;Sachsen-Anhalt
Abberode;6543;Sachsen-Anhalt
Abenberg;91183;Bayern
Abend;1623;Sachsen
Abensberg;93326;Bayern
Abentheuer;55767;Rheinland-Pfalz
Abraham;94036;Bayern
Absberg;91720;Bayern
Abstatt;74232;Baden-Württemberg
Abtlöbnitz;6628;Sachsen-Anhalt
Abtsbessingen;99713;Thüringen
Abtsdorf;6888;Sachsen-Anhalt
Abtsgmünd;73453;Baden-Württemberg
Abtsteinach;69518;Hessen
Abtswind;97355;Bayern
Abtweiler;55568;Rheinland-Pfalz
Achberg;88147;Baden-Württemberg
Achen;83552;Bayern
Achern;77855;Baden-Württemberg
Achim;28832;Niedersachsen
Achim;38312;Niedersachsen
Achslach;94250;Bayern
Achstetten;88480;Baden-Württemberg
Acht;56729;Rheinland-Pfalz
Achtelsbach;55767;Rheinland-Pfalz
Achterspannerhof;56299;Rheinland-Pfalz
Achterwehr;24239;Schlewig-Holstein
Achtrup;25917;Schlewig-Holstein
Ackendorf;39343;Sachsen-Anhalt
Ackermannshof;16259;Brandenburg
Adamshoffnung;17213;Mecklenburg-Vorpommern
Addebüll;25842;Schlewig-Holstein
Adelberg;73099;Baden-Württemberg
Adelebsen;37139;Niedersachsen
Adelhausen;98646;Thüringen
Adelheidsdorf;29352;Niedersachsen
Adelmannsfelden;73486;Baden-Württemberg
Adelschlag;85111;Bayern
Adelsdorf;1561;Sachsen
Adelsdorf;91325;Bayern
Adelsheim;74740;Baden-Württemberg
Adelshofen;82276;Bayern
Adelshofen;91587;Bayern
Adelsried;86477;Bayern
Adelzhausen;86559;Bayern
Adenau;53518;Rheinland-Pfalz
Adenbach;67742;Rheinland-Pfalz
Adenbüttel;38528;Niedersachsen
Adendorf;21365;Niedersachsen
Adenstedt;31079;Niedersachsen
Aderstedt;6408;Sachsen-Anhalt
Aderstedt;38838;Sachsen-Anhalt
Adlersteige;73479;Baden-Württemberg
Adligstadt;83364;Bayern
Adlkofen;84166;Bayern
Adlkofen;84166;Bayern
Admannshagen-Bargeshagen;18211;Mecklenburg-Vorpommern
Adorf;8626;Sachsen
Aebtissinwisch;25572;Schlewig-Holstein
Aerzen;31855;Niedersachsen
Affalterbach;71563;Baden-Württemberg
Affing;86444;Bayern
Affinghausen;27257;Niedersachsen
Affler;54689;Rheinland-Pfalz
Aftholderbach;56355;Rheinland-Pfalz
Agathenburg;21684;Niedersachsen
Agethorst;25560;Schlewig-Holstein
Aglasterhausen;74858;Baden-Württemberg
Aham;84168;Bayern
Ahaus;48683;Nordrhein-Westfalen
Ahausen;27367;Niedersachsen
Ahlbeck;17375;Mecklenburg-Vorpommern
Ahlden;29693;Niedersachsen
Ahlefeld;24811;Schlewig-Holstein
Ahlen;59227;Nordrhein-Westfalen
Ahlen;59229;Nordrhein-Westfalen
Ahlerstedt;21702;Niedersachsen
Ahlsdorf;4916;Brandenburg
Ahlsdorf;6313;Sachsen-Anhalt
Ahlstädt;98553;Thüringen
Ahlum;38489;Sachsen-Anhalt
Ahnatal;34292;Hessen
Ahneby;24996;Schlewig-Holstein
Ahnsbeck;29353;Niedersachsen
Ahnsen;31708;Niedersachsen
Aholfing;94345;Bayern
Aholming;94527;Bayern
Ahorn;74744;Baden-Württemberg
Ahorn;96482;Bayern
Ahorntal;95491;Bayern
Ahrain;83739;Bayern
Ahrbrück;53506;Rheinland-Pfalz
Ahrensbök;23623;Schlewig-Holstein
Ahrensburg;22926;Schlewig-Holstein
Ahrensdorf;14974;Brandenburg
Ahrensdorf;15864;Brandenburg
Ahrensfelde;16356;Brandenburg
Ahrenshagen;18320;Mecklenburg-Vorpommern
Ahrenshöft;25853;Schlewig-Holstein
Ahrenstedt;24787;Schlewig-Holstein
Ahrenviöl;25885;Schlewig-Holstein
Ahrenviölfeld;25885;Schlewig-Holstein
Aicha;94529;Bayern
Aichach;86551;Bayern
Aichat;83565;Bayern
Aichberg;83329;Bayern
Aichelberg;73101;Baden-Württemberg
Aichen;86479;Bayern
Aichhalden;78733;Baden-Württemberg
Aichstetten;88317;Baden-Württemberg
Aichtal;72631;Baden-Württemberg
Aichwald;73773;Baden-Württemberg
Aichwies;83329;Bayern
Aidenbach;94501;Bayern
Aidhausen;97491;Bayern
Aidlingen;71134;Baden-Württemberg
Aiglsbach;84089;Bayern
Ailertchen;56459;Rheinland-Pfalz
Aindling;86447;Bayern
Ainring;83404;Bayern
Aislingen;89344;Bayern
Aiterhofen;94330;Bayern
Aitern;79677;Baden-Württemberg
Aiteröd;84137;Bayern
Aitrach;88319;Baden-Württemberg
Aitrang;87648;Bayern
Aitzendorf;9326;Sachsen
Aken;6385;Sachsen-Anhalt
Alach;99100;Thüringen
Alach;99100;Thüringen
Albaching;83544;Bayern
Albbruck;79774;Baden-Württemberg
Albernhof;93449;Bayern
Albersdorf;7646;Thüringen
Albersdorf;25767;Schlewig-Holstein
Albershausen;73095;Baden-Württemberg
Albersroda;6268;Sachsen-Anhalt
Alberstedt;6279;Sachsen-Anhalt
Albersweiler;76857;Rheinland-Pfalz
Alberthofen;57614;Rheinland-Pfalz
Albertinenhof;16818;Brandenburg
Albertinenhof;19260;Mecklenburg-Vorpommern
Albertshofen;97320;Bayern
Albessen;66871;Rheinland-Pfalz
Albig;55234;Rheinland-Pfalz
Albisheim;67308;Rheinland-Pfalz
Albrechts;98529;Thüringen
Albrechts;98529;Thüringen
Albrechtshof;17291;Brandenburg
Albsfelde;23909;Schlewig-Holstein
Albstadt;72458;Baden-Württemberg
Albstadt;72459;Baden-Württemberg
Albstadt;72461;Baden-Württemberg
Aldenhoven;52457;Nordrhein-Westfalen
Aldersbach;94501;Bayern
Aldingen;78554;Baden-Württemberg
Alerheim;86733;Bayern
Alesheim;91793;Bayern
Aletshausen;86480;Bayern
Alf;56859;Rheinland-Pfalz
Alfdorf;73553;Baden-Württemberg
Alfeld;31061;Niedersachsen
Alfeld;91236;Bayern
Alfhausen;49594;Niedersachsen
Alflen;56828;Rheinland-Pfalz
Alfstedt;27432;Niedersachsen
Alfter;53347;Nordrhein-Westfalen
Algenstedt;39638;Sachsen-Anhalt
Algermissen;31191;Niedersachsen
Algertshausen;86926;Bayern
Algesbüttel;38551;Niedersachsen
Algishofen;73453;Baden-Württemberg
Alheim;36211;Hessen
Alikendorf;39398;Sachsen-Anhalt
Alken;56332;Rheinland-Pfalz
Alkersleben;99310;Thüringen
Alkersum;25938;Schlewig-Holstein
Allenbach;55758;Rheinland-Pfalz
Allendorf;7426;Thüringen
Allendorf;35108;Hessen
Allendorf;35469;Hessen
Allendorf;56370;Rheinland-Pfalz
Allenfeld;55595;Rheinland-Pfalz
Allensbach;78476;Baden-Württemberg
Alleringersleben;39343;Sachsen-Anhalt
Allersberg;90584;Bayern
Allersdorf;98701;Thüringen
Allershausen;85391;Bayern
Alleshausen;88422;Baden-Württemberg
Alling;82239;Bayern
Allmannshofen;86695;Bayern
Allmannsweiler;88348;Baden-Württemberg
Allmendingen;89604;Baden-Württemberg
Allmenhausen;99713;Thüringen
Allmersbach;71573;Baden-Württemberg
Allmosen;1983;Brandenburg
Allrode;6507;Sachsen-Anhalt
Allstedt;6542;Sachsen-Anhalt
Almdorf;25821;Schlewig-Holstein
Almersbach;57610;Rheinland-Pfalz
Almosmühle;93449;Bayern
Almstedt;31079;Niedersachsen
Alpen;46519;Nordrhein-Westfalen
Alpenrod;57642;Rheinland-Pfalz
Alperstedt;99195;Thüringen
Alpirsbach;72275;Baden-Württemberg
Alsau;53547;Rheinland-Pfalz
Alsbach;56237;Rheinland-Pfalz
Alsbach-Hähnlein;64665;Hessen
Alsdorf;52477;Nordrhein-Westfalen
Alsdorf;54668;Rheinland-Pfalz
Alsdorf;57518;Rheinland-Pfalz
Alsenz;67821;Rheinland-Pfalz
Alsfeld;36304;Hessen
Alsheim;67577;Rheinland-Pfalz
Alsleben;6425;Sachsen-Anhalt
Alt Bennebek;24848;Schlewig-Holstein
Alt Bork;14822;Brandenburg
Alt Brieselang;14656;Brandenburg
Alt Bukow;18233;Mecklenburg-Vorpommern
Alt Duvenstedt;24791;Schlewig-Holstein
Alt Golm;15526;Brandenburg
Alt Jabel;19303;Mecklenburg-Vorpommern
Alt Karin;18236;Mecklenburg-Vorpommern
Alt Kätwin;18299;Mecklenburg-Vorpommern
Alt Krenzlin;19288;Mecklenburg-Vorpommern
Alt Krüssow;16928;Brandenburg
Alt Lanschvitz;18581;Mecklenburg-Vorpommern
Alt Lutterow;16837;Brandenburg
Alt Madlitz;15518;Brandenburg
Alt Mahlisch;15306;Brandenburg
Alt Meteln;19069;Mecklenburg-Vorpommern
Alt Mölln;23881;Schlewig-Holstein
Alt Necheln;19412;Mecklenburg-Vorpommern
Alt Poorstorf;23992;Mecklenburg-Vorpommern
Alt Rehse;17217;Mecklenburg-Vorpommern
Alt Ruppin;16827;Brandenburg
Alt Schönau;17192;Mecklenburg-Vorpommern
Alt Schwerin;17214;Mecklenburg-Vorpommern
Alt Stahnsdorf;15859;Brandenburg
Alt Tellin;17129;Mecklenburg-Vorpommern
Alt Tucheband;15328;Brandenburg
Alt Zachun;19230;Mecklenburg-Vorpommern
Alt Zauche;15913;Brandenburg
Altbach;73776;Baden-Württemberg
Altbarnim;15320;Brandenburg
Altbrand;76726;Rheinland-Pfalz
Altbrandsleben;39387;Sachsen-Anhalt
Altdöbern;3229;Brandenburg
Altdorf;67482;Rheinland-Pfalz
Altdorf;71155;Baden-Württemberg
Altdorf;72655;Baden-Württemberg
Altdorf;84032;Bayern
Altdorf;90518;Bayern
Altefähr;18573;Mecklenburg-Vorpommern
Alteglofsheim;93087;Bayern
Altena;58762;Nordrhein-Westfalen
Altenahr;53505;Rheinland-Pfalz
Altenau;4931;Brandenburg
Altenau;38707;Niedersachsen
Altenbach;4828;Sachsen
Altenbamberg;55585;Rheinland-Pfalz
Altenbeken;33184;Nordrhein-Westfalen
Altenberg;1773;Sachsen
Altenberga;7768;Thüringen
Altenberge;48341;Nordrhein-Westfalen
Altenbeuthen;7338;Thüringen
Altenbrak;38889;Sachsen-Anhalt
Altenbuch;97901;Bayern
Altenburg;4600;Thüringen
Altendambach;98553;Thüringen
Altendiez;65624;Rheinland-Pfalz
Altendorf;1855;Sachsen
Altendorf;92540;Bayern
Altendorf;96146;Bayern
