vorname,nachname,verein,position,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34
Niklas,Süle,FC Bayern,DEFENDER,91.0,91.0,139.0,49.0,147.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel,Neuer,FC Bayern,GOAL_KEEPER,67.0,73.0,140.0,103.0,153.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Maxim,Choupo-Moting,FC Bayern,FORWARD,4.0,31.0,30.0,120.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sven,Ulreich,FC Bayern,GOAL_KEEPER,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,Müller,FC Bayern,MIDFIELDER,38.0,136.0,283.0,52.0,233.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Lewandowski,FC Bayern,FORWARD,157.0,227.0,420.0,162.0,191.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon,Goretzka,FC Bayern,MIDFIELDER,97.0,88.0,167.0,101.0,296.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leroy,Sané,FC Bayern,MIDFIELDER,85.0,51.0,103.0,211.0,306.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua,Kimmich,FC Bayern,MIDFIELDER,200.0,135.0,184.0,177.0,401.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsley,Coman,FC Bayern,MIDFIELDER,11.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel,Sabitzer,FC Bayern,MIDFIELDER,20.0,44.0,33.0,66.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge,Gnabry,FC Bayern,MIDFIELDER,85.0,280.0,122.0,52.0,299.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayotchanculle,Upamecano,FC Bayern,DEFENDER,111.0,93.0,88.0,66.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corentin,Tolisso,FC Bayern,MIDFIELDER,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Pavard,FC Bayern,DEFENDER,56.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickaël,Cuisance,FC Bayern,MIDFIELDER,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,Früchtl,FC Bayern,GOAL_KEEPER,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josip,Stanisic,FC Bayern,DEFENDER,74.0,43.0,150.0,34.0,93.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonso,Davies,FC Bayern,DEFENDER,156.0,96.0,195.0,235.0,104.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas,Hernández,FC Bayern,DEFENDER,77.0,147.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal,Musiala,FC Bayern,MIDFIELDER,33.0,158.0,218.0,198.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanguy,Nianzou,FC Bayern,DEFENDER,51.0,157.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc,Roca,FC Bayern,MIDFIELDER,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,-2.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,-6.0,0.0,,,,,,,,
Bouna,Sarr,FC Bayern,DEFENDER,15.0,40.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar,Richards,FC Bayern,DEFENDER,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emre,Can,Borussia Dortmund,DEFENDER,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mats,Hummels,Borussia Dortmund,DEFENDER,-9.0,34.0,141.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco,Reus,Borussia Dortmund,MIDFIELDER,232.0,56.0,173.0,123.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel,Schmelzer,Borussia Dortmund,DEFENDER,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,31.0,0.0,178.0,15.0,0.0,34.0,,,,,,,,,,,,,
Marwin,Hitz,Borussia Dortmund,GOAL_KEEPER,0.0,0.0,138.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,7.0,58.0,120.0,121.0,59.0,104.0,46.0,23.0,49.0,95.0,125.0,118.0,46.0,,,
Nico,Schulz,Borussia Dortmund,DEFENDER,66.0,6.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud,Dahoud,Borussia Dortmund,MIDFIELDER,109.0,73.0,101.0,81.0,116.0,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian,Brandt,Borussia Dortmund,MIDFIELDER,13.0,82.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman,Bürki,Borussia Dortmund,GOAL_KEEPER,121.0,16.0,0.0,95.0,113.0,78.0,58.0,33.0,35.0,47.0,69.0,42.0,134.0,100.0,46.0,104.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,97.0,118.0,,,,,,
Thorgan,Hazard,Borussia Dortmund,MIDFIELDER,203.0,17.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
