date,value
2019-08-20T16:51:00+02:00,29
2019-08-20T16:52:00+02:00,6
2019-08-20T16:54:00+02:00,4
2019-08-20T16:55:00+02:00,8
2019-08-20T17:00:00+02:00,32
2019-08-20T17:15:00+02:00,1
2019-08-20T17:17:00+02:00,1
2019-08-20T17:25:00+02:00,1
2019-08-20T17:30:00+02:00,1
2019-08-20T17:42:00+02:00,1
2019-08-20T17:45:00+02:00,1
2019-08-20T18:20:00+02:00,1
2019-08-20T18:22:00+02:00,1
2019-08-20T18:30:00+02:00,1
2019-08-20T19:00:00+02:00,2
2019-08-20T19:19:00+02:00,1
2019-08-20T20:00:00+02:00,1
2019-08-20T20:06:00+02:00,1
2019-08-20T21:00:00+02:00,1
2019-08-20T21:10:00+02:00,1
2019-08-20T21:17:00+02:00,1
2019-08-20T21:42:00+02:00,1
2019-08-20T23:00:00+02:00,1
2019-08-20T23:15:00+02:00,1
2019-08-20T23:23:00+02:00,1
2019-08-20T23:30:00+02:00,1
2019-08-20T23:45:00+02:00,1
2019-08-21T00:07:00+02:00,1
2019-08-21T00:11:00+02:00,1
2019-08-21T01:00:00+02:00,2
2019-08-21T01:01:00+02:00,1
2019-08-21T01:30:00+02:00,1
2019-08-21T01:40:00+02:00,1
2019-08-21T01:50:00+02:00,1
2019-08-21T04:00:00+02:00,3
2019-08-21T04:22:00+02:00,2
2019-08-21T04:31:00+02:00,2
2019-08-21T04:33:00+02:00,2
2019-08-21T04:52:00+02:00,1
2019-08-21T04:55:00+02:00,1
2019-08-21T05:00:00+02:00,5
2019-08-21T05:07:00+02:00,1
2019-08-21T05:32:00+02:00,1
2019-08-21T06:00:00+02:00,3
2019-08-21T06:06:00+02:00,1
2019-08-21T06:15:00+02:00,1
2019-08-21T06:22:00+02:00,1
2019-08-21T06:30:00+02:00,1
2019-08-21T06:32:00+02:00,1
2019-08-21T06:33:00+02:00,2
2019-08-21T06:56:00+02:00,1
2019-08-21T07:00:00+02:00,1
2019-08-21T07:02:00+02:00,1
2019-08-21T07:07:00+02:00,2
2019-08-21T08:00:00+02:00,1
2019-08-21T08:03:00+02:00,1
2019-08-21T08:08:00+02:00,1
2019-08-21T09:10:00+02:00,1
2019-08-21T09:12:00+02:00,1
2019-08-21T10:10:00+02:00,1
2019-08-22T05:03:00+02:00,1
2019-08-22T05:06:00+02:00,1
2019-08-25T00:15:00+02:00,1
2019-08-25T04:00:00+02:00,1
2019-08-25T06:00:00+02:00,1
2019-08-25T08:13:00+02:00,1
2019-08-25T23:00:00+02:00,1
2019-08-26T06:00:00+02:00,1
2019-08-26T07:03:00+02:00,1
2019-08-27T04:00:00+02:00,2
2019-09-01T00:30:00+02:00,1
2019-09-01T04:37:00+02:00,1
2019-09-01T06:00:00+02:00,1
2019-09-01T06:11:00+02:00,1
2019-09-01T06:22:00+02:00,1
2019-09-01T08:00:00+02:00,1
2019-09-03T14:14:00+02:00,1
