year,age,sex,people
1850,0,1,1483789
1850,0,2,1450376
1850,5,1,1411067
1850,5,2,1359668
1850,10,1,1260099
1850,10,2,1216114
1850,15,1,1077133
1850,15,2,1110619
1850,20,1,1017281
1850,20,2,1003841
1850,25,1,862547
1850,25,2,799482
1850,30,1,730638
1850,30,2,639636
1850,35,1,588487
1850,35,2,505012
1850,40,1,475911
1850,40,2,428185
1850,45,1,384211
1850,45,2,341254
1850,50,1,321343
1850,50,2,286580
1850,55,1,194080
1850,55,2,187208
1850,60,1,174976
1850,60,2,162236
1850,65,1,106827
1850,65,2,105534
1850,70,1,73677
1850,70,2,71762
1850,75,1,40834
1850,75,2,40229
1850,80,1,23449
1850,80,2,22949
1850,85,1,8186
1850,85,2,10511
1850,90,1,5259
1850,90,2,6569
1860,0,1,2120846
1860,0,2,2092162
1860,5,1,1804467
1860,5,2,1778772
1860,10,1,1612640
1860,10,2,1540350
1860,15,1,1438094
1860,15,2,1495999
1860,20,1,1351121
1860,20,2,1370462
1860,25,1,1217615
1860,25,2,1116373
1860,30,1,1043174
1860,30,2,936055
1860,35,1,866910
1860,35,2,737136
1860,40,1,699434
1860,40,2,616826
1860,45,1,552404
1860,45,2,461739
1860,50,1,456176
1860,50,2,407305
1860,55,1,292417
1860,55,2,267224
1860,60,1,260887
1860,60,2,249735
1860,65,1,149331
1860,65,2,141405
1860,70,1,98465
1860,70,2,101778
1860,75,1,56699
1860,75,2,57597
1860,80,1,29007
1860,80,2,29506
1860,85,1,10434
1860,85,2,14053
1860,90,1,7232
1860,90,2,6622
1870,0,1,2800083
1870,0,2,2717102
1870,5,1,2428469
1870,5,2,2393680
1870,10,1,2427341
1870,10,2,2342670
1870,15,1,1958390
1870,15,2,2077248
1870,20,1,1805303
1870,20,2,1909382
1870,25,1,1509059
1870,25,2,1574285
1870,30,1,1251534
1870,30,2,1275629
1870,35,1,1185336
1870,35,2,1137490
1870,40,1,968861
1870,40,2,944401
1870,45,1,852672
1870,45,2,747916
1870,50,1,736387
1870,50,2,637801
1870,55,1,486036
1870,55,2,407819
1870,60,1,399264
1870,60,2,374801
1870,65,1,260829
1870,65,2,239080
1870,70,1,173364
1870,70,2,165501
1870,75,1,86929
1870,75,2,89540
1870,80,1,47427
1870,80,2,54190
1870,85,1,15891
1870,85,2,19302
1870,90,1,8649
1870,90,2,13068
1880,0,1,3533662
1880,0,2,3421597
1880,5,1,3297503
1880,5,2,3179142
1880,10,1,2911924
1880,10,2,2813550
1880,15,1,2457734
1880,15,2,2527818
1880,20,1,2547780
1880,20,2,2512803
1880,25,1,2119393
1880,25,2,1974241
1880,30,1,1749107
1880,30,2,1596772
1880,35,1,1540772
1880,35,2,1483717
1880,40,1,1237347
1880,40,2,1239435
1880,45,1,1065973
1880,45,2,1003711
1880,50,1,964484
1880,50,2,863012
1880,55,1,679147
1880,55,2,594843
1880,60,1,580298
1880,60,2,526956
1880,65,1,369398
1880,65,2,346303
1880,70,1,255422
1880,70,2,251860
1880,75,1,141628
1880,75,2,143513
1880,80,1,67526
1880,80,2,77290
1880,85,1,22437
1880,85,2,31227
1880,90,1,10272
1880,90,2,15451
1900,0,1,4619544
1900,0,2,4589196
1900,5,1,4465783
1900,5,2,4390483
1900,10,1,4057669
1900,10,2,4001749
1900,15,1,3774846
1900,15,2,3801743
1900,20,1,3694038
1900,20,2,3751061
1900,25,1,3389280
1900,25,2,3236056
1900,30,1,2918964
1900,30,2,2665174
1900,35,1,2633883
1900,35,2,2347737
1900,40,1,2261070
1900,40,2,2004987
1900,45,1,1868413
1900,45,2,1648025
1900,50,1,1571038
1900,50,2,1411981
1900,55,1,1161908
1900,55,2,1064632
1900,60,1,916571
1900,60,2,887508
1900,65,1,672663
1900,65,2,640212
1900,70,1,454747
1900,70,2,440007
1900,75,1,268211
1900,75,2,265879
1900,80,1,127435
1900,80,2,132449
1900,85,1,44008
1900,85,2,48614
1900,90,1,15164
1900,90,2,20093
1910,0,1,5296823
1910,0,2,5287477
1910,5,1,4991803
1910,5,2,4866139
1910,10,1,4650747
1910,10,2,4471887
1910,15,1,4566154
1910,15,2,4592269
1910,20,1,4637632
1910,20,2,4447683
1910,25,1,4257755
1910,25,2,3946153
1910,30,1,3658125
1910,30,2,3295220
1910,35,1,3427518
1910,35,2,3088990
1910,40,1,2860229
1910,40,2,2471267
1910,45,1,2363801
1910,45,2,2114930
1910,50,1,2126516
1910,50,2,1773592
1910,55,1,1508358
1910,55,2,1317651
1910,60,1,1189421
